id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,add player,control,1,1,Add a new player,Add a new player,
2,player detail page,boundary,1,2,Add a new player,Add a new player,
3,query attribute list of a player,control,2,1,Add a new player,Add a new player,
4,all players list,boundary,1,2,Add a new player,Add a new player,
5,player,entity,0,3,Add a new player,Add a new player,
6,query crawling list of players,control,2,1,Add a new player,Add a new player,
7,players tab,boundary,1,1,Add a new player,Add a new player,
8,contractor,actor,3,0,Add a new player,Add a new player,
