id,element,useCase,type,component
1,User:Display a list of templates,Create from template,control,CreateFormTemplateView
2,User:Create from template button,Create from template,control,CreateFormTemplateView
3,User:edit sphere page,Create from template,boundary,EditSphereView
4,User:Disable creat from template button,Create from template,control,CreateFormTemplateView
5,Create from template button:query available templates,Create from template,control,CreateFormTemplateView
6,query available templates:Disable creat from template button,Create from template,control,CreateFormTemplateView
7,Display a list of templates:create a sphere in db,Create from template,control,CreateSphereView
8,query available templates:Display a list of templates,Create from template,control,CreateFormTemplateView
9,Display the edit sphere page:edit sphere page,Create from template,boundary,EditSphereView
10,create a sphere in db:Display the edit sphere page,Create from template,boundary,EditSphereView
11,query available templates:templates database,Create from template,control,DatabaseAdapter
12,stl#User:Display a list of templates,Create from template,Stimulus,undefined
13,stl#User:Create from template button,Create from template,Stimulus,undefined
14,stl#User:edit sphere page,Create from template,Stimulus,undefined
15,stl#User:Disable creat from template button,Create from template,Stimulus,undefined
