id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Case Manager,actor,5,0,Reset Password,Reset Password,
2,case management page,boundary,0,3,Reset Password,Reset Password,
3,reset new password,control,2,1,Reset Password,Reset Password,
4,invalid answer for security question,boundary,0,3,Reset Password,Reset Password,
5,User,entity,0,1,Reset Password,Reset Password,
6,validate answer of security question,control,2,1,Reset Password,Reset Password,
7,role,entity,0,1,Reset Password,Reset Password,
8,reset page,boundary,1,3,Reset Password,Reset Password,
9,unauthorized error message,boundary,0,3,Reset Password,Reset Password,
10,validate role of user,control,3,1,Reset Password,Reset Password,
11,Reset password button,boundary,1,2,Reset Password,Reset Password,
12,Administrator,actor,5,0,Reset Password,Reset Password,
