id,path,functional,transactional,path_length,diagram,useCase
1,Administrator->Reset password button->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Reset Password,Reset Password
2,Administrator->Reset password button->validate role of user->role,EI,CTRL|DM|EI,undefined,Reset Password,Reset Password
3,Administrator->Reset password button->validate role of user->reset page,EQ,CTRL|INT,undefined,Reset Password,Reset Password
4,Administrator->reset page->validate answer of security question->reset new password->case management page,EQ,CTRL|INT,undefined,Reset Password,Reset Password
5,Administrator->reset page->validate answer of security question->reset new password->User,EI,CTRL|DM|EI,undefined,Reset Password,Reset Password
6,Administrator->reset page->validate answer of security question->invalid answer for security question,EQ,CTRL|INT,undefined,Reset Password,Reset Password
7,Case Manager->Reset password button->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Reset Password,Reset Password
8,Case Manager->Reset password button->validate role of user->role,EI,CTRL|DM|EI,undefined,Reset Password,Reset Password
9,Case Manager->Reset password button->validate role of user->reset page,EQ,CTRL|INT,undefined,Reset Password,Reset Password
10,Case Manager->reset page->validate answer of security question->reset new password->case management page,EQ,CTRL|INT,undefined,Reset Password,Reset Password
11,Case Manager->reset page->validate answer of security question->reset new password->User,EI,CTRL|DM|EI,undefined,Reset Password,Reset Password
12,Case Manager->reset page->validate answer of security question->invalid answer for security question,EQ,CTRL|INT,undefined,Reset Password,Reset Password
