id,element,useCase,type,component
1,User:"sites" link,Delete Site,boundary,deletesitefromdb
2,User:site list,Delete Site,boundary,deletesitefromdb
3,User:existing site error message,Delete Site,control,successmessage
4,User:success messsage,Delete Site,control,successmessage
5,User:success message,Delete Site,control,successmessage
6,"sites" link:redirect to a page with the curernt sites list,Delete Site,boundary,redirecttoapagewiththecurerntsiteslist
7,add site information db:site information,Delete Site,control,displayinvalidemailformat
8,add site information db:success message,Delete Site,control,successmessage
9,check existing situation for the new site:add site information db,Delete Site,control,displayinvalidemailformat
10,check existing situation for the new site:existing site error message,Delete Site,control,successmessage
11,success messsage:check existing situation for the new site,Delete Site,entity,checkuscidexistornot
12,delete site from db:site information,Delete Site,control,displayinvalidemailformat
13,delete site from db:success messsage,Delete Site,control,successmessage
14,site list:delete site from db,Delete Site,boundary,deletesitefromdb
15,redirect to a page with the curernt sites list:site information,Delete Site,control,displayinvalidemailformat
16,redirect to a page with the curernt sites list:site list,Delete Site,boundary,deletesitefromdb
17,stl#User:"sites" link,Delete Site,Stimulus,undefined
18,stl#User:site list,Delete Site,Stimulus,undefined
19,stl#User:existing site error message,Delete Site,Stimulus,undefined
20,stl#User:success messsage,Delete Site,Stimulus,undefined
21,stl#User:success message,Delete Site,Stimulus,undefined
