id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Login page,boundary,0,1,Connect to trip plan,Connect to trip plan - Android,
2,Verify user's session,control,2,2,Connect to trip plan,Connect to trip plan - Android,
3,Show trip plans page,boundary,1,2,Connect to trip plan,Connect to trip plan - Android,
4,users' database table,entity,1,1,Connect to trip plan,Connect to trip plan - Android,
5,Trip plans database table,entity,1,0,Connect to trip plan,Connect to trip plan - Android,
6,Collect information,control,1,3,Connect to trip plan,Connect to trip plan - Android,
7,View trip plans,control,1,1,Connect to trip plan,Connect to trip plan - Android,
8,User,actor,1,0,Connect to trip plan,Connect to trip plan - Android,
9,Previous Page,boundary,1,1,Connect to trip plan,Connect to trip plan - Android,
