id,element,useCase,type,component
1,User:Forward artifact to department page,Forward artifact to department,boundary,Forwardartifacttodepartment
2,User:Homepage,Forward artifact to department,control,Event Image
3,Forward artifact to department:Show confirmation page,Forward artifact to department,control,Job Application Form 
4,Forward artifact to department page:Forward artifact to department,Forward artifact to department,boundary,Forwardartifacttodepartment
5,Show confirmation page:Forward artifact to department page,Forward artifact to department,boundary,Forwardartifacttodepartment
6,Show confirmation page:Homepage,Forward artifact to department,control,Event Image
7,stl#User:Forward artifact to department page,Forward artifact to department,Stimulus,undefined
8,stl#User:Homepage,Forward artifact to department,Stimulus,undefined
