id,element,useCase,type,component
id,element,useCase,type,component
107,Display information:Homepage,set constraints,boundary,Displaypage
108,Update changed information:Display information,set constraints,boundary,Displaypage
109,stl#User:Homepage,set constraints,Stimulus,undefined
110,stl#User:Constraints management page,set constraints,Stimulus,undefined
111,stl#User:Make some changes,set constraints,Stimulus,undefined
112,User:Lock button,set current semester course,boundary,Lockbutton
113,User:Homepage,set current semester course,boundary,Displaymessagepage
114,User:Save button,set current semester course,boundary,Lockbutton
115,User:Current semeter page,set current semester course,boundary,semester
116,Confirmation page:Homepage,set current semester course,boundary,Displaymessagepage
117,Updae lock status:Confirmation page,set current semester course,control,course section
118,Current semeter page:Display message page,set current semester course,boundary,Displaymessagepage
119,Updae lock status:Database,set current semester course,entity,counselor data
120,Save selected course:Database,set current semester course,entity,counselor data
121,Display message page:Save selected course,set current semester course,control,course section
122,Save button:Display message page,set current semester course,boundary,Displaymessagepage
123,Lock button:Updae lock status,set current semester course,control,student data
124,Save selected course:Updae lock status,set current semester course,control,student data
125,stl#User:Lock button,set current semester course,Stimulus,undefined
126,stl#User:Homepage,set current semester course,Stimulus,undefined
127,stl#User:Save button,set current semester course,Stimulus,undefined
128,stl#User:Current semeter page,set current semester course,Stimulus,undefined
129,User:Student course page,update course preference,boundary,pair course
130,User:Send student detail,update course preference,control,student data
131,User:Homepage,update course preference,boundary,Displaymessagepage
132,User:Confirm information,update course preference,control,course section
133,Confirm information:Display confirmation ,update course preference,boundary,Displaymessagepage
134,Display confirmation :Database,update course preference,entity,counselor data
135,Display confirmation :Homepage,update course preference,boundary,Displaymessagepage
136,Display detail:Display confirmation ,update course preference,boundary,Displaymessagepage
137,Send student detail:Display detail,update course preference,control,course detail
138,Request student detail:Display detail,update course preference,control,course detail
139,Student course page:Request student detail,update course preference,control,student data
140,stl#User:Student course page,update course preference,Stimulus,undefined
141,stl#User:Send student detail,update course preference,Stimulus,undefined
142,stl#User:Homepage,update course preference,Stimulus,undefined
143,stl#User:Confirm information,update course preference,Stimulus,undefined
144,User:Send student detail,view enrolled students,control,student data
145,User:Homepage,view enrolled students,boundary,Displaymessagepage
146,User:Course link button,view enrolled students,boundary,course constraints
147,Course link button:Get  enrolled students list,view enrolled students,control,student final schedule
148,Display page:Homepage,view enrolled students,boundary,Displaymessagepage
