NUM,UC,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Avg_Degree,Avg_Path_Length,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,Control_Num,Entity_Num,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_Tran_Length,Arch_Diff,UEUCW,UEXUCW,UDUCW,Effort,SWTI,SWTII,SWTIII,
1,Experiment Use Case,9,undefined,0,16,0,0,7.888888888888889,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,7.888888888888889,NaN,15,36,36,undefined,90,135,108
2,Use Case1,1,undefined,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,NaN,15,2,2,undefined,10,15,12
3,Use Case2,0,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,15,0,0,undefined,0,0,0
4,TestAlgorithm1,3,undefined,0,9,0,0,4.666666666666667,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,4,NaN,15,2,2,undefined,30,45,36
5,Use Case1,1,undefined,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,NaN,15,2,2,undefined,10,15,12
6,Use Case2,0,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,15,0,0,undefined,0,0,0
7,Test use case,3,undefined,0,9,0,0,4.666666666666667,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,4,NaN,15,2,2,undefined,30,45,36
8,Use Case1,1,undefined,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,NaN,15,2,2,undefined,10,15,12
9,Use Case2,0,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,15,0,0,undefined,0,0,0
10,Buy Partner Subscription,4,undefined,0,17,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,NaN,15,0,0,undefined,40,60,48
11,Cancel Partner Subscription,7,undefined,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,5,NaN,15,17,17,undefined,70,105,84
12,Design Coupon,6,undefined,0,15,0,0,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,NaN,15,0,0,undefined,60,90,72
13,Modify Offer,3,undefined,0,8,0,0,5.333333333333333,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,5.333333333333333,NaN,15,6,6,undefined,30,45,36
14,Partner Login,3,undefined,0,22,0,0,5.333333333333333,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,2,NaN,15,2,2,undefined,30,45,36
15,Publish Offer,6,undefined,0,15,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,4,2,3.5,NaN,15,4,4,undefined,60,90,72
16,Test Coupon,4,undefined,0,16,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,NaN,15,0,0,undefined,40,60,48
17,Upload Image,6,undefined,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,0,3,1,5,2.8,NaN,15,10,10,undefined,60,90,72
