id,path,useCase,transactional,tran_length,arch_diff
1,stl#Actor2:b2->Actor2:b2->b2:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b2->b2:b1,Experiment Use Case,CTRL,9,9
2,stl#Actor2:b2->Actor2:b2->b2:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b1->b1:c1,Experiment Use Case,CTRL,9,9
3,stl#Actor2:b2->Actor2:b2->b2:b1->b1:c1->c1:b2->b2:b1,Experiment Use Case,CTRL,6,6
4,stl#Actor1:b1->Actor1:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b2->b2:b1->b1:c1,Experiment Use Case,CTRL,9,9
5,stl#Actor1:b1->Actor1:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b1->b1:c1,Experiment Use Case,CTRL,8,8
6,stl#Actor1:b1->Actor1:b1->b1:c1->c1:b2->b2:b1->b1:c1,Experiment Use Case,CTRL,6,6
7,stl#Actor1:b2->Actor1:b2->b2:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b2->b2:b1,Experiment Use Case,CTRL,9,9
8,stl#Actor1:b2->Actor1:b2->b2:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b1->b1:c1,Experiment Use Case,CTRL,9,9
9,stl#Actor1:b2->Actor1:b2->b2:b1->b1:c1->c1:b2->b2:b1,Experiment Use Case,CTRL,6,6
1,stl#undefined->undefined,Use Case1,CTRL,2,2
1,stl#Actor2:Object1->Actor2:Object1->Object1:b1->b1:c1->c1:e1,TestAlgorithm1,TRAN_NA,5,5
2,stl#Actor2:Object1->Actor2:Object1->Object1:Object2->Object2:c1->c1:e1,TestAlgorithm1,TRAN_NA,5,5
3,stl#Actor1:b1->Actor1:b1->b1:c1->c1:e1,TestAlgorithm1,CTRL,4,4
1,stl#undefined->undefined,Use Case1,CTRL,2,2
1,stl#Actor2:Object1->Actor2:Object1->Object1:b1->b1:c1->c1:e1,Test use case,TRAN_NA,5,5
2,stl#Actor2:Object1->Actor2:Object1->Object1:Object2->Object2:c1->c1:e1,Test use case,TRAN_NA,5,5
3,stl#Actor1:b1->Actor1:b1->b1:c1->c1:e1,Test use case,CTRL,4,4
1,stl#undefined->undefined,Use Case1,CTRL,2,2
1,stl#Business Parter:Buy Subscription Page(1)->Business Parter:Buy Subscription Page(1)->Buy Subscription Page(1):Display Subscription Page(2)->Display Subscription Page(2):Buy Subscription Page(1)->Buy Subscription Page(1):Display Subscription Comfirmation Page->Display Subscription Comfirmation Page:Buy Subscription Comfirmation Page->Buy Subscription Comfirmation Page:Marked as Subscirpted->Marked as Subscirpted:Subscription->Subscription:Display Buy My Subscription Success Page->Display Buy My Subscription Success Page:Buy Success Page->Buy Success Page:Display Home Page(Designed by other part),Buy Partner Subscription,TRAN_NA,11,11
2,stl#Business Parter:Buy Subscription Page(1)->Business Parter:Buy Subscription Page(1)->Buy Subscription Page(1):Display Subscription Comfirmation Page->Display Subscription Comfirmation Page:Buy Subscription Comfirmation Page->Buy Subscription Comfirmation Page:Marked as Subscirpted->Marked as Subscirpted:Subscription->Subscription:Display Buy My Subscription Success Page->Display Buy My Subscription Success Page:Buy Success Page->Buy Success Page:Display Home Page(Designed by other part),Buy Partner Subscription,TRAN_NA,9,9
3,stl#Business Parter:Buy Success Page->Business Parter:Buy Success Page->Buy Success Page:Display Home Page(Designed by other part),Buy Partner Subscription,TRAN_NA,3,3
4,stl#Business Parter:Buy Subscription Comfirmation Page->Business Parter:Buy Subscription Comfirmation Page->Buy Subscription Comfirmation Page:Marked as Subscirpted->Marked as Subscirpted:Subscription->Subscription:Display Buy My Subscription Success Page->Display Buy My Subscription Success Page:Buy Success Page->Buy Success Page:Display Home Page(Designed by other part),Buy Partner Subscription,TRAN_NA,7,7
1,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Subscription,Cancel Partner Subscription,CTRL,4,4
2,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Display Success Page->Display Success Page:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,CTRL,6,6
3,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Display Cancel Sub page,Cancel Partner Subscription,CTRL,3,3
4,stl#Business Partner:Cancel Subscription Success Page->Business Partner:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,CTRL,3,3
5,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Subscription,Cancel Partner Subscription,CTRL,6,6
6,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Display Success Page->Display Success Page:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,CTRL,8,8
7,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Display Cancel Sub page,Cancel Partner Subscription,CTRL,5,5
