id,path,useCase,path_length, boundry_num, control_num, entity_num, actor_num
1,stl#Actor2:b2->Actor2:b2->b2:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b2->b2:b1,Experiment Use Case,undefined,0,8,0,0
2,stl#Actor2:b2->Actor2:b2->b2:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b1->b1:c1,Experiment Use Case,undefined,0,8,0,0
3,stl#Actor2:b2->Actor2:b2->b2:b1->b1:c1->c1:b2->b2:b1,Experiment Use Case,undefined,0,5,0,0
4,stl#Actor1:b1->Actor1:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b2->b2:b1->b1:c1,Experiment Use Case,undefined,0,8,0,0
5,stl#Actor1:b1->Actor1:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b1->b1:c1,Experiment Use Case,undefined,0,7,0,0
6,stl#Actor1:b1->Actor1:b1->b1:c1->c1:b2->b2:b1->b1:c1,Experiment Use Case,undefined,0,5,0,0
7,stl#Actor1:b2->Actor1:b2->b2:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b2->b2:b1,Experiment Use Case,undefined,0,8,0,0
8,stl#Actor1:b2->Actor1:b2->b2:b1->b1:c1->c1:e1->e1:c2->c2:e2->e2:b1->b1:c1,Experiment Use Case,undefined,0,8,0,0
9,stl#Actor1:b2->Actor1:b2->b2:b1->b1:c1->c1:b2->b2:b1,Experiment Use Case,undefined,0,5,0,0
10,stl#undefined->undefined,Use Case1,undefined,0,0,0,0
11,stl#Actor2:Object1->Actor2:Object1->Object1:b1->b1:c1->c1:e1,TestAlgorithm1,undefined,1,3,0,0
12,stl#Actor2:Object1->Actor2:Object1->Object1:Object2->Object2:c1->c1:e1,TestAlgorithm1,undefined,2,2,0,0
13,stl#Actor1:b1->Actor1:b1->b1:c1->c1:e1,TestAlgorithm1,undefined,0,3,0,0
14,stl#undefined->undefined,Use Case1,undefined,0,0,0,0
15,stl#Actor2:Object1->Actor2:Object1->Object1:b1->b1:c1->c1:e1,Test use case,undefined,1,3,0,0
16,stl#Actor2:Object1->Actor2:Object1->Object1:Object2->Object2:c1->c1:e1,Test use case,undefined,2,2,0,0
17,stl#Actor1:b1->Actor1:b1->b1:c1->c1:e1,Test use case,undefined,0,3,0,0
18,stl#undefined->undefined,Use Case1,undefined,0,0,0,0
19,stl#Business Parter:Buy Subscription Page(1)->Business Parter:Buy Subscription Page(1)->Buy Subscription Page(1):Display Subscription Page(2)->Display Subscription Page(2):Buy Subscription Page(1)->Buy Subscription Page(1):Display Subscription Comfirmation Page->Display Subscription Comfirmation Page:Buy Subscription Comfirmation Page->Buy Subscription Comfirmation Page:Marked as Subscirpted->Marked as Subscirpted:Subscription->Subscription:Display Buy My Subscription Success Page->Display Buy My Subscription Success Page:Buy Success Page->Buy Success Page:Display Home Page(Designed by other part),Buy Partner Subscription,undefined,4,5,0,0
20,stl#Business Parter:Buy Subscription Page(1)->Business Parter:Buy Subscription Page(1)->Buy Subscription Page(1):Display Subscription Comfirmation Page->Display Subscription Comfirmation Page:Buy Subscription Comfirmation Page->Buy Subscription Comfirmation Page:Marked as Subscirpted->Marked as Subscirpted:Subscription->Subscription:Display Buy My Subscription Success Page->Display Buy My Subscription Success Page:Buy Success Page->Buy Success Page:Display Home Page(Designed by other part),Buy Partner Subscription,undefined,3,4,0,0
21,stl#Business Parter:Buy Success Page->Business Parter:Buy Success Page->Buy Success Page:Display Home Page(Designed by other part),Buy Partner Subscription,undefined,1,1,0,0
22,stl#Business Parter:Buy Subscription Comfirmation Page->Business Parter:Buy Subscription Comfirmation Page->Buy Subscription Comfirmation Page:Marked as Subscirpted->Marked as Subscirpted:Subscription->Subscription:Display Buy My Subscription Success Page->Display Buy My Subscription Success Page:Buy Success Page->Buy Success Page:Display Home Page(Designed by other part),Buy Partner Subscription,undefined,2,3,0,0
23,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Subscription,Cancel Partner Subscription,undefined,0,2,0,0
24,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Display Success Page->Display Success Page:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,undefined,0,4,0,0
25,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Display Cancel Sub page,Cancel Partner Subscription,undefined,0,1,0,0
26,stl#Business Partner:Cancel Subscription Success Page->Business Partner:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,undefined,0,2,0,0
27,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Subscription,Cancel Partner Subscription,undefined,0,4,0,0
28,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Display Success Page->Display Success Page:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,undefined,0,6,0,0
29,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Display Cancel Sub page,Cancel Partner Subscription,undefined,0,3,0,0
30,stl#Third Party Client:access->Third Party Client:access->access:Coupon,Design Coupon,undefined,2,0,0,0
31,stl#Business Partner:Coupon Designer->Business Partner:Coupon Designer->Coupon Designer:Upload Image->Upload Image:External Image Service,Design Coupon,undefined,1,1,0,0
32,stl#Business Partner:Coupon Designer->Business Partner:Coupon Designer->Coupon Designer:Test,Design Coupon,undefined,2,0,0,0
33,stl#Business Partner:Coupon Designer->Business Partner:Coupon Designer->Coupon Designer:Retrieves->Retrieves:Error Message,Design Coupon,undefined,2,1,0,0
34,stl#Business Partner:Coupon Designer->Business Partner:Coupon Designer->Coupon Designer:Save->Save:Coupon,Design Coupon,undefined,2,1,0,0
35,stl#Business Partner:Coupon Designer->Business Partner:Coupon Designer->Coupon Designer:Edit->Edit:Coupon Templates,Design Coupon,undefined,2,1,0,0
36,stl#FTSR:Offers Page->FTSR:Offers Page->Offers Page:Edit Offer->Edit Offer:Modify offer page->Modify offer page:Modify Offer->Modify Offer:Offer,Modify Offer,undefined,0,1,0,0
37,stl#FTSR:Offers Page->FTSR:Offers Page->Offers Page:Edit Offer->Edit Offer:Modify offer page->Modify offer page:Invoke design coupon use case,Modify Offer,undefined,0,2,0,0
38,stl#FTSR:Offers Page->FTSR:Offers Page->Offers Page:Edit Offer->Edit Offer:Modify offer page->Modify offer page:Enter offer's new values,Modify Offer,undefined,0,1,0,0
