id,element,useCase,type,component
1,User:Click edit button for changing specific setting,UC16: Manage account setting,boundary,Buyer Registration Form
2,User:Change the information and click save,UC16: Manage account setting,control,Vender Registration Form
3,User:Homepage,UC16: Manage account setting,control,Homepage
4,User:Homepage,UC16: Manage account setting,control,Homepage
5,User:Enter search name and click ��search�� in main page,UC16: Manage account setting,boundary,ClickUsersalluserstab
6,	Redirect user to a page for filling the new information of the specific account information.:Notify user the new setting has been saved.,UC16: Manage account setting,control,Notifytheadminthattheuserisupdated
7,Click edit button for changing specific setting:	Redirect user to a page for filling the new information of the specific account information.,UC16: Manage account setting,control,Notifytheadminthattheuserisupdated
8,Change the information and click save:Notify user the new setting has been saved.,UC16: Manage account setting,control,Notifytheadminthattheuserisupdated
9,Enter search name and click ��search�� in main page:Redirect to main page with a list of product matches the result,UC16: Manage account setting,control,Notifytheadminthattheuserisupdated
10,added into database:Homepage,UC16: Manage account setting,control,Homepage
11,Notify user the new setting has been saved.:Homepage,UC16: Manage account setting,control,Homepage
12,Redirect to main page with a list of product matches the result:Homepage,UC16: Manage account setting,control,Homepage
13,Notify user the new setting has been saved.:added into database,UC16: Manage account setting,control,Notifytheadminthattheuserisupdated
14,added into database:blog db,UC16: Manage account setting,entity,Blog
15,stl#User:Click edit button for changing specific setting,UC16: Manage account setting,Stimulus,undefined
16,stl#User:Change the information and click save,UC16: Manage account setting,Stimulus,undefined
17,stl#User:Homepage,UC16: Manage account setting,Stimulus,undefined
18,stl#User:Homepage,UC16: Manage account setting,Stimulus,undefined
19,stl#User:Enter search name and click ��search�� in main page,UC16: Manage account setting,Stimulus,undefined
