id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:User management button,Inactivate user,0,undefined,undefined
2,Administrator:unauthorized error message,Inactivate user,0,undefined,undefined
3,Administrator:user is already inactivated error,Inactivate user,0,undefined,undefined
4,Administrator:activation success message,Inactivate user,0,undefined,undefined
5,Administrator:user management page,Inactivate user,0,undefined,undefined
6,inactivtate the user:User,Inactivate user,0,undefined,undefined
7,User management button:validate role of user,Inactivate user,0,undefined,undefined
8,inactivtate the user:activation success message,Inactivate user,0,undefined,undefined
9,check the status of user:inactivtate the user,Inactivate user,0,undefined,undefined
10,check the status of user:user is already inactivated error,Inactivate user,0,undefined,undefined
11,user management page:check the status of user,Inactivate user,0,undefined,undefined
12,validate role of user:role,Inactivate user,0,undefined,undefined
13,validate role of user:unauthorized error message,Inactivate user,0,undefined,undefined
14,validate role of user:user management page,Inactivate user,0,undefined,undefined
15,stl#Administrator:User management button,Inactivate user,0,undefined,undefined
16,stl#Administrator:unauthorized error message,Inactivate user,0,undefined,undefined
17,stl#Administrator:user is already inactivated error,Inactivate user,0,undefined,undefined
18,stl#Administrator:activation success message,Inactivate user,0,undefined,undefined
19,stl#Administrator:user management page,Inactivate user,0,undefined,undefined
