id,element,useCase,type,component
1,User:enter credentials page,Login,boundary,UserSpecificContent
2,User:confirmation page,Login,entity,invitationlink
3,User:home screen,Login,boundary,Loginscreen
4,check credentials:confirmation page,Login,entity,invitationlink
5,check credentials:redirect to login screen,Login,boundary,Loginscreen
6,check credentials:credential info,Login,boundary,Loginscreen
7,enter credentials page:check credentials,Login,boundary,Loginscreen
8,confirmation page:redirect to home screen,Login,boundary,Loginscreen
9,redirect to login screen:enter credentials page,Login,boundary,UserSpecificContent
10,redirect to home screen:home screen,Login,boundary,Loginscreen
11,stl#User:enter credentials page,Login,Stimulus,undefined
12,stl#User:confirmation page,Login,Stimulus,undefined
13,stl#User:home screen,Login,Stimulus,undefined
