id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Administrator->Admin Login Page->Display Invalid Username Password Message->Validate user->Partner Info->display partner list->Admin home page,FUNC_NA,CTRL|DM|EQ|INT,7,undefined,3,1,1,Admin Login,Admin Login
2,Administrator->Admin Login Page->Display Invalid Username Password Message->Validate user->Display Home Page->Admin home page,EQ,CTRL|INT,6,undefined,3,0,1,Admin Login,Admin Login
3,Administrator->Admin Login Page->Display Password Reset Page->Admin password reset page,EQ,CTRL|INT,4,undefined,1,0,1,Admin Login,Admin Login
4,Administrator->Admin Login Page->Enter username and password->Validate user->Partner Info->display partner list->Admin home page,FUNC_NA,CTRL|DM|EQ|INT,7,undefined,3,1,1,Admin Login,Admin Login
5,Administrator->Admin Login Page->Enter username and password->Validate user->Display Home Page->Admin home page,EQ,CTRL|INT,6,undefined,3,0,1,Admin Login,Admin Login
6,Administrator->Admin Login Page->Display locked account message,FUNC_NA,TRAN_NA,3,undefined,1,0,1,Admin Login,Admin Login
7,Display login page->Admin Login Page->Display Invalid Username Password Message->Validate user->Partner Info->display partner list->Admin home page,FUNC_NA,TRAN_NA,7,undefined,4,1,0,Admin Login,Admin Login
8,Display login page->Admin Login Page->Display Invalid Username Password Message->Validate user->Display Home Page->Admin home page,FUNC_NA,TRAN_NA,6,undefined,4,0,0,Admin Login,Admin Login
9,Display login page->Admin Login Page->Display Password Reset Page->Admin password reset page,FUNC_NA,TRAN_NA,4,undefined,2,0,0,Admin Login,Admin Login
10,Display login page->Admin Login Page->Enter username and password->Validate user->Partner Info->display partner list->Admin home page,FUNC_NA,TRAN_NA,7,undefined,4,1,0,Admin Login,Admin Login
11,Display login page->Admin Login Page->Enter username and password->Validate user->Display Home Page->Admin home page,FUNC_NA,TRAN_NA,6,undefined,4,0,0,Admin Login,Admin Login
12,Display login page->Admin Login Page->Display locked account message,FUNC_NA,TRAN_NA,3,undefined,2,0,0,Admin Login,Admin Login
