id,element,useCase,type,component
1,User:clicks on specific chapter ,Pause Video,control,Chapter
2,User:The user clicks on the Pause button listed in the video window,Pause Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
3,User:clicks on Watch more link ,Pause Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
4,User:Click on view content ,Pause Video,boundary,chapter view
5,User:opens Go Grrrls App ,Pause Video,boundary,Go Grrrls App
6,Chapter content is loaded and with watch more link listed :The video starts playing ,Pause Video,control,Video
7,clicks on specific chapter :Chapter content is loaded and with watch more link listed ,Pause Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
8,Display all the chapters listed:Chapter content is loaded and with watch more link listed ,Pause Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
9,Click on view content :Display all the chapters listed,Pause Video,control,Chapter
10,Show the home page of the app :Display all the chapters listed,Pause Video,control,Chapter
11,opens Go Grrrls App :Show the home page of the app ,Pause Video,control,Home
12,The user clicks on the Pause button listed in the video window:The video is paused,Pause Video,control,Video
13,The video starts playing :The video is paused,Pause Video,control,Video
14,clicks on Watch more link :The video starts playing ,Pause Video,control,Video
15,stl#User:clicks on specific chapter ,Pause Video,Stimulus,undefined
16,stl#User:The user clicks on the Pause button listed in the video window,Pause Video,Stimulus,undefined
17,stl#User:clicks on Watch more link ,Pause Video,Stimulus,undefined
18,stl#User:Click on view content ,Pause Video,Stimulus,undefined
19,stl#User:opens Go Grrrls App ,Pause Video,Stimulus,undefined
