id,path,transactional,path_length,diagram,useCase
1,Administrator->Edit default attendee list->verify attendee information->Attendee is not available,CTRL,4,Create New Project,Create New Project
2,Administrator->Edit default attendee list->verify attendee information->Attendee is not available,INT,4,Create New Project,Create New Project
3,Administrator->Edit default attendee list->verify attendee information->attendee information list,CTRL,4,Create New Project,Create New Project
4,Administrator->Edit default attendee list->verify attendee information->attendee information list,DM,4,Create New Project,Create New Project
5,Administrator->Edit default attendee list->verify attendee information->attendee information list,EI,4,Create New Project,Create New Project
6,Administrator->Create a project screen->Verify project information->Project information error,CTRL,4,Create New Project,Create New Project
7,Administrator->Create a project screen->Verify project information->Project information error,INT,4,Create New Project,Create New Project
8,Administrator->Create a project screen->Verify project information->Edit default attendee list,CTRL,4,Create New Project,Create New Project
9,Administrator->Create a project screen->Verify project information->Edit default attendee list,INT,4,Create New Project,Create New Project
10,Administrator->Create a project screen->Verify project information->Project,CTRL,4,Create New Project,Create New Project
11,Administrator->Create a project screen->Verify project information->Project,DM,4,Create New Project,Create New Project
12,Administrator->Create a project screen->Verify project information->Project,EI,4,Create New Project,Create New Project
