NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, NT, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Experiment Use Case,13,2,2,3,3,10,1,0,1,0,0,7,1,0,0,0,0,0,1.3,3.875,5.0375000000000005,8
2,Use Case1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TestAlgorithm1,7,2,2,2,1,7,0,2,2,0,0,1,2,2,0,0,0,0,1,4,4,3
4,Use Case1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Test use case,7,2,2,2,1,7,0,2,2,0,0,1,2,2,0,0,0,0,1,4,4,3
6,Use Case1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Modify Offer,7,1,4,2,1,8,1,0,1,0,0,0,1,0,0,0,0,0,0.875,4,3.5,1
8,Partner Login,9,1,2,5,1,9,1,1,1,0,0,3,1,0,0,1,0,0,1,7,7,4
9,Buy Partner Subscription,13,1,4,5,1,11,3,1,3,0,0,1,3,0,0,1,0,0,1.1818181818181819,4.25,5.022727272727273,4
10,Publish Offer,12,2,2,7,1,12,1,0,1,0,0,6,1,0,0,0,0,0,1,4,4,7
11,Test Coupon,13,1,3,5,3,12,0,3,3,0,0,2,3,3,0,0,0,0,1.0833333333333333,4.2,4.55,5
12,Cancel Partner Subscription,11,1,3,5,1,10,2,1,3,0,0,2,3,1,0,0,0,0,1.1,3.8,4.18,5
13,Upload Image,10,1,5,2,0,8,3,0,3,0,0,0,3,0,0,0,0,0,1.25,4,5,3
14,Design Coupon,13,3,2,6,3,14,1,3,5,1,1,2,5,3,0,0,0,0,0.9285714285714286,3.5714285714285716,3.3163265306122454,7
