id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,c3,control,1,0,Experiment Use Case,Experiment Use Case
2,e3,entity,1,0,Experiment Use Case,Experiment Use Case
3,Actor2,actor,1,0,Experiment Use Case,Experiment Use Case
4,e2,entity,2,2,Experiment Use Case,Experiment Use Case
5,c2,control,1,2,Experiment Use Case,Experiment Use Case
6,b2,boundary,1,4,Experiment Use Case,Experiment Use Case
7,e1,entity,1,1,Experiment Use Case,Experiment Use Case
8,c1,control,2,1,Experiment Use Case,Experiment Use Case
9,b1,boundary,1,3,Experiment Use Case,Experiment Use Case
10,Actor1,actor,2,0,Experiment Use Case,Experiment Use Case
11,User,actor,0,0,Use Case1,Use Case1
12,Object2,control,1,1,Experiment Model 2,TestAlgorithm1
13,Object1,boundary,2,1,Experiment Model 2,TestAlgorithm1
14,Actor2,actor,1,0,Experiment Model 2,TestAlgorithm1
15,c1,control,1,2,Experiment Model 2,TestAlgorithm1
16,e1,entity,0,1,Experiment Model 2,TestAlgorithm1
17,b1,boundary,1,2,Experiment Model 2,TestAlgorithm1
18,Actor1,actor,1,0,Experiment Model 2,TestAlgorithm1
19,User,actor,0,0,Use Case1,Use Case1
20,Object2,control,1,1,Experiment Model 2,Test use case
21,Object1,boundary,2,1,Experiment Model 2,Test use case
22,Actor2,actor,1,0,Experiment Model 2,Test use case
23,c1,control,1,2,Experiment Model 2,Test use case
24,e1,entity,0,1,Experiment Model 2,Test use case
25,b1,boundary,1,2,Experiment Model 2,Test use case
26,Actor1,actor,1,0,Experiment Model 2,Test use case
27,User,actor,0,0,Use Case1,Use Case1
28,Invoke design coupon use case,boundary,0,1,Modify Offer,Modify Offer
29,Enter offer's new values,boundary,0,1,Modify Offer,Modify Offer
30,Modify offer page,boundary,3,1,Modify Offer,Modify Offer
31,Modify Offer,control,1,1,Modify Offer,Modify Offer
32,Edit Offer,control,1,1,Modify Offer,Modify Offer
33,Offer,entity,0,1,Modify Offer,Modify Offer
34,Offers Page,boundary,1,1,Modify Offer,Modify Offer
35,FTSR,actor,1,0,Modify Offer,Modify Offer
36,System Database,entity,1,1,Partner Login,Partner Login
37,Query database with username and password,control,1,1,Partner Login,Partner Login
38,Is a match found?,control,2,1,Partner Login,Partner Login
39,Display error message,control,0,1,Partner Login,Partner Login
40,Enter username and password,control,1,1,Partner Login,Partner Login
41,Display Partner Login,control,1,0,Partner Login,Partner Login
42,Partner Portal,boundary,0,2,Partner Login,Partner Login
43,Partner Login,boundary,1,2,Partner Login,Partner Login
44,User,actor,2,0,Partner Login,Partner Login
45,Display Home Page(Designed by other part),control,0,1,Buy Partner Subscription,Buy Partner Subscription
46,Buy Success Page,boundary,1,2,Buy Partner Subscription,Buy Partner Subscription
47,Display Buy My Subscription Success Page,control,1,1,Buy Partner Subscription,Buy Partner Subscription
48,Subscription,entity,1,1,Buy Partner Subscription,Buy Partner Subscription
49,Marked as Subscirpted,control,1,1,Buy Partner Subscription,Buy Partner Subscription
50,Buy Subscription Comfirmation Page,boundary,1,2,Buy Partner Subscription,Buy Partner Subscription
51,Display Subscription Comfirmation Page,control,1,1,Buy Partner Subscription,Buy Partner Subscription
52,Buy Subscription Page(1),boundary,1,2,Buy Partner Subscription,Buy Partner Subscription
53,Display Subscription Page(2),control,1,1,Buy Partner Subscription,Buy Partner Subscription
54,Buy Subscription Page(1),boundary,1,1,Buy Partner Subscription,Buy Partner Subscription
55,Business Parter,actor,4,0,Buy Partner Subscription,Buy Partner Subscription
56,Auto publish reschedule,control,1,0,Publish Offer,Publish Offer
57,Display modify error,control,0,1,Publish Offer,Publish Offer
58,Add Server,actor,1,0,Publish Offer,Publish Offer
59,Publish offer,control,0,2,Publish Offer,Publish Offer
60,Check validate,control,2,1,Publish Offer,Publish Offer
61,offer details,boundary,1,3,Publish Offer,Publish Offer
62,Offers,entity,1,0,Publish Offer,Publish Offer
63,Retrieve offers,control,1,2,Publish Offer,Publish Offer
64,Display offer,control,2,1,Publish Offer,Publish Offer
65,Dispaly Error Msg,control,0,1,Publish Offer,Publish Offer
66,offers pages,boundary,1,1,Publish Offer,Publish Offer
67,FTSR,actor,2,0,Publish Offer,Publish Offer
