id,path,functional,transactional,path_length,diagram,useCase
1,Case Manager->document list->validate role of user->query document->db,EI,CTRL|DM|EI,undefined,View document,View document
2,Case Manager->document list->validate role of user->query document->document upload page,EQ,CTRL|INT,undefined,View document,View document
3,Case Manager->document list->validate role of user->role,EI,CTRL|DM|EI,undefined,View document,View document
4,Case Manager->document list->validate role of user->unauthorized request message,EQ,CTRL|INT,undefined,View document,View document
5,Case Manager->document upload page->Validate print/download request->print->Printer service,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
6,Case Manager->document upload page->Validate print/download request->unauthorized request,EQ,CTRL|INT,undefined,View document,View document
7,Case Manager->document upload page->Validate print/download request->download->File Manager,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
8,Case Manager->document upload page->Validate print/download request->role,EI,CTRL|DM|EI,undefined,View document,View document
9,Administrator->document upload page->Validate print/download request->print->Printer service,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
10,Administrator->document upload page->Validate print/download request->unauthorized request,EQ,CTRL|INT,undefined,View document,View document
11,Administrator->document upload page->Validate print/download request->download->File Manager,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
12,Administrator->document upload page->Validate print/download request->role,EI,CTRL|DM|EI,undefined,View document,View document
13,Administrator->document list->validate role of user->query document->db,EI,CTRL|DM|EI,undefined,View document,View document
14,Administrator->document list->validate role of user->query document->document upload page,EQ,CTRL|INT,undefined,View document,View document
15,Administrator->document list->validate role of user->role,EI,CTRL|DM|EI,undefined,View document,View document
16,Administrator->document list->validate role of user->unauthorized request message,EQ,CTRL|INT,undefined,View document,View document
17,Youth->document list->validate role of user->query document->db,EI,CTRL|DM|EI,undefined,View document,View document
18,Youth->document list->validate role of user->query document->document upload page,EQ,CTRL|INT,undefined,View document,View document
19,Youth->document list->validate role of user->role,EI,CTRL|DM|EI,undefined,View document,View document
20,Youth->document list->validate role of user->unauthorized request message,EQ,CTRL|INT,undefined,View document,View document
21,Youth->document upload page->Validate print/download request->print->Printer service,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
22,Youth->document upload page->Validate print/download request->unauthorized request,EQ,CTRL|INT,undefined,View document,View document
23,Youth->document upload page->Validate print/download request->download->File Manager,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
24,Youth->document upload page->Validate print/download request->role,EI,CTRL|DM|EI,undefined,View document,View document
