id,element,useCase,type,component
1,User:Homepage,Delete Customer,boundary,Homepage
2,User:Customer view page,Delete Customer,control,Customer Profile
3,Customer view page:Delete custormer,Delete Customer,control,Customer Profile
4,Display confirmation:Customer view page,Delete Customer,control,Customer Profile
5,Display confirmation:Database,Delete Customer,control,Database
6,Delete custormer:Display confirmation,Delete Customer,control,Displayconfirmation
7,Display confirmation:Homepage,Delete Customer,boundary,Homepage
8,stl#User:Homepage,Delete Customer,Stimulus,undefined
9,stl#User:Customer view page,Delete Customer,Stimulus,undefined
