id,element,useCase,type,component
1,User:Lock button,set current semester course,boundary,Exportbutton
2,User:Homepage,set current semester course,boundary,Homepage
3,User:Save button,set current semester course,boundary,Exportbutton
4,User:Current semeter page,set current semester course,boundary,Homepage
5,Confirmation page:Homepage,set current semester course,boundary,Homepage
6,Updae lock status:Confirmation page,set current semester course,control,Displaycomfirminformation
7,Current semeter page:Display message page,set current semester course,boundary,Homepage
8,Updae lock status:Database,set current semester course,entity,Database
9,Save selected course:Database,set current semester course,entity,Database
10,Display message page:Save selected course,set current semester course,boundary,Studentcourselist
11,Save button:Display message page,set current semester course,boundary,Homepage
12,Lock button:Updae lock status,set current semester course,entity,Database
13,Save selected course:Updae lock status,set current semester course,entity,Database
14,stl#User:Lock button,set current semester course,Stimulus,undefined
15,stl#User:Homepage,set current semester course,Stimulus,undefined
16,stl#User:Save button,set current semester course,Stimulus,undefined
17,stl#User:Current semeter page,set current semester course,Stimulus,undefined
