id,attribute,type,element,diagram
1,createAt,timeStamp,Item,Domain Objects
2,itemDetail,String,Item,Domain Objects
3,itemName,String,Item,Domain Objects
4,pictureURL,String,Item,Domain Objects
5,purchasePoint,integer,Item,Domain Objects
6,status,int,Item,Domain Objects
7,updateAt,timeStamp,Item,Domain Objects
8,categoryCode,String,ItemCategory,Domain Objects
9,categoryName,String,ItemCategory,Domain Objects
10,createAt,timeStamp,Event,Domain Objects
11,details,String,Event,Domain Objects
12,location,String,Event,Domain Objects
13,name,String,Event,Domain Objects
14,notificationTime,timeStamp,Event,Domain Objects
15,picture,String,Event,Domain Objects
16,pointForJoining,int,Event,Domain Objects
17,startTime,timeStamp,Event,Domain Objects
18,updateAt,timeStamp,Event,Domain Objects
19,author,String,Post,Domain Objects
20,createAt,timeStamp,Post,Domain Objects
21,details,String,Post,Domain Objects
22,updateAt,timeStamp,Post,Domain Objects
23,message,String,Notification,Domain Objects
24,sendBy,String,Notification,Domain Objects
25,time,timeStamp,Notification,Domain Objects
26,degree,String,User,Domain Objects
27,email,String,User,Domain Objects
28,firstName,String,User,Domain Objects
29,joinDate,String,User,Domain Objects
30,lastName,String,User,Domain Objects
31,lifeTime,int,User,Domain Objects
32,password,String,User,Domain Objects
33,pictureURL,String,User,Domain Objects
34,school,String,User,Domain Objects
35,semester,int,User,Domain Objects
36,summaryProfile,String,User,Domain Objects
37,usable,int,User,Domain Objects
38,author,String,Thread,Domain Objects
39,category,String,Thread,Domain Objects
40,creatAt,timeStamp,Thread,Domain Objects
41,detail,String,Thread,Domain Objects
42,topic,String,Thread,Domain Objects
43,updateAt,timeStamp,Thread,Domain Objects
44,categoryCode,String,ThreadCategory,Domain Objects
45,categoryName,String,ThreadCategory,Domain Objects
46,created_id,timeStamp,Event,Domain Classes
47,detail,String,Event,Domain Classes
48,end_time,timeStamp,Event,Domain Classes
49,id,int,Event,Domain Classes
50,location,String,Event,Domain Classes
51,notification_time,timeStamp,Event,Domain Classes
52,picture,String,Event,Domain Classes
53,point_for_joining,int,Event,Domain Classes
54,start_time,timeStamp,Event,Domain Classes
55,topic,String,Event,Domain Classes
56,updated_at,timeStamp,Event,Domain Classes
57,created_at,timeStamp,Item,Domain Classes
58,id,int,Item,Domain Classes
59,item_category_id,int,Item,Domain Classes
60,item_detail,String,Item,Domain Classes
61,item_name,String,Item,Domain Classes
62,picture_url,String,Item,Domain Classes
63,purchase_pint,int,Item,Domain Classes
64,status,int,Item,Domain Classes
65,updated_at,timeStamp,Item,Domain Classes
66,code,String,ItemCategory,Domain Classes
67,create_at,timeStamp,ItemCategory,Domain Classes
68,id,int,ItemCategory,Domain Classes
69,item_category_id,int,ItemCategory,Domain Classes
70,name,String,ItemCategory,Domain Classes
71,updated_at,timeStamp,ItemCategory,Domain Classes
72,id,integer,Notification Type,Domain Classes
73,type,String,Notification Type,Domain Classes
74,created_at,timeStamp,Notification,Domain Classes
75,id,int,Notification,Domain Classes
76,message,String,Notification,Domain Classes
77,notification_type,int,Notification,Domain Classes
78,object_id,int,Notification,Domain Classes
79,object_type,String,Notification,Domain Classes
80,read,boolean,Notification,Domain Classes
81,time,timeStamp,Notification,Domain Classes
82,updated_at,timeStamp,Notification,Domain Classes
83,user_id,int,Notification,Domain Classes
84,created_at,timeStamp,Post,Domain Classes
85,deleted,boolean,Post,Domain Classes
86,detail,String,Post,Domain Classes
87,id,int,Post,Domain Classes
88,is_pending,boolean,Post,Domain Classes
89,like_amt,int,Post,Domain Classes
90,number_of_report,int,Post,Domain Classes
91,thread_id,int,Post,Domain Classes
92,updated_at,timeStamp,Post,Domain Classes
93,user_id,int,Post,Domain Classes
94,verification_mark,boolean,Post,Domain Classes
95,class,String,User,Domain Classes
96,confirmation_string,String,User,Domain Classes
97,confirmed,boolean,User,Domain Classes
98,cover_url,String,User,Domain Classes
99,created_at,timeStamp,User,Domain Classes
100,degree,String,User,Domain Classes
101,dislike,int,User,Domain Classes
102,email,String,User,Domain Classes
103,fillable,boolean,User,Domain Classes
104,firstName,String,User,Domain Classes
105,hidden,boolean,User,Domain Classes
106,hobbies,String,User,Domain Classes
107,id,integer,User,Domain Classes
108,image_extensions,String[],User,Domain Classes
109,join_date,timeStamp,User,Domain Classes
110,lastName,String,User,Domain Classes
111,life_time,int,User,Domain Classes
112,like,int,User,Domain Classes
113,not_first_time,boolean,User,Domain Classes
114,other,String,User,Domain Classes
115,password,String,User,Domain Classes
116,pending_point,int,User,Domain Classes
117,picture_url,String,User,Domain Classes
118,remember_token,boolean,User,Domain Classes
119,school,String,User,Domain Classes
120,semester,int,User,Domain Classes
121,summary_profile,String,User,Domain Classes
122,updated_at,timeStamp,User,Domain Classes
123,usable,int,User,Domain Classes
124,create_at,timeStamp,Thread,Domain Classes
125,detail,String,Thread,Domain Classes
126,id,int,Thread,Domain Classes
127,isPending,boolean,Thread,Domain Classes
128,like_amt,integer,Thread,Domain Classes
129,number_of_report,int,Thread,Domain Classes
130,topic,String,Thread,Domain Classes
131,update_at,timeStamp,Thread,Domain Classes
132,userId,int,Thread,Domain Classes
133,verification_mark,boolean,Thread,Domain Classes
134,code,String,ThreadCategory,Domain Classes
135,createdAt,timeStamp,ThreadCategory,Domain Classes
136,id,int,ThreadCategory,Domain Classes
137,name,String,ThreadCategory,Domain Classes
138,updatedAt,timeStamp,ThreadCategory,Domain Classes
