2019-02-22 14:02:43,310 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963309","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"static_method_type","methodSign":"com.danielkim.soundrecorder.fragments.FileViewerFragment com.danielkim.soundrecorder.fragments.FileViewerFragment.newInstance(int)","params":[]}
2019-02-22 14:02:43,319 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963318","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"static_method_type","methodSign":"com.danielkim.soundrecorder.fragments.FileViewerFragment com.danielkim.soundrecorder.fragments.FileViewerFragment.newInstance(int)","index":"1"}
2019-02-22 14:02:43,320 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963319","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"},"params":[]}
2019-02-22 14:02:43,320 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963320","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"}}
2019-02-22 14:02:43,321 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963320","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"void com.danielkim.soundrecorder.fragments.RecordFragment.onCreate(android.os.Bundle)","instance":{"class":"com.danielkim.soundrecorder.fragments.RecordFragment","hashcode":"156508050"},"params":[]}
2019-02-22 14:02:43,321 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963321","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"void com.danielkim.soundrecorder.fragments.RecordFragment.onCreate(android.os.Bundle)","instance":{"class":"com.danielkim.soundrecorder.fragments.RecordFragment","hashcode":"156508050"}}
2019-02-22 14:02:43,322 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963322","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"android.view.View com.danielkim.soundrecorder.fragments.RecordFragment.onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)","instance":{"class":"com.danielkim.soundrecorder.fragments.RecordFragment","hashcode":"156508050"},"params":[]}
2019-02-22 14:02:43,336 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963335","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"android.view.View com.danielkim.soundrecorder.fragments.RecordFragment.onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)","index":"1","instance":{"class":"com.danielkim.soundrecorder.fragments.RecordFragment","hashcode":"156508050"}}
2019-02-22 14:02:43,337 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963337","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"void com.danielkim.soundrecorder.fragments.FileViewerFragment.onCreate(android.os.Bundle)","instance":{"class":"com.danielkim.soundrecorder.fragments.FileViewerFragment","hashcode":"228840557"},"params":[]}
2019-02-22 14:02:43,338 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963338","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"void com.danielkim.soundrecorder.fragments.FileViewerFragment.onCreate(android.os.Bundle)","instance":{"class":"com.danielkim.soundrecorder.fragments.FileViewerFragment","hashcode":"228840557"}}
